cik,ticker,name,source,asof_date
0001090872,A,"AGILENT TECHNOLOGIES, INC.",sec_company_tickers,2026-02-09
0001675149,AA,Alcoa Corp,sec_company_tickers,2026-02-09
0001708646,AAAU,Goldman Sachs Physical Gold ETF,sec_company_tickers,2026-02-09
0002034334,AACB,Artius II Acquisition Inc.,sec_company_tickers,2026-02-09
0002034334,AACBR,Artius II Acquisition Inc.,sec_company_tickers,2026-02-09
0002034334,AACBU,Artius II Acquisition Inc.,sec_company_tickers,2026-02-09
0001420529,AACG,ATA Creativity Global,sec_company_tickers,2026-02-09
0002099906,AACO,Abony Acquisition Corp. I,sec_company_tickers,2026-02-09
0000006201,AAL,American Airlines Group Inc.,sec_company_tickers,2026-02-09
0002012964,AAM,AA Mission Acquisition Corp.,sec_company_tickers,2026-02-09
0000008177,AAME,ATLANTIC AMERICAN CORP,sec_company_tickers,2026-02-09
0001748824,AAMI,Acadian Asset Management Inc.,sec_company_tickers,2026-02-09
0001327899,AAMTF,Armada Mercantile Ltd,sec_company_tickers,2026-02-09
0001158114,AAOI,"APPLIED OPTOELECTRONICS, INC.",sec_company_tickers,2026-02-09
0000824142,AAON,"AAON, INC.",sec_company_tickers,2026-02-09
0001158449,AAP,ADVANCE AUTO PARTS INC,sec_company_tickers,2026-02-09
0002023311,AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,sec_company_tickers,2026-02-09
0001134982,AAPI,"Apple iSports Group, Inc.",sec_company_tickers,2026-02-09
0000320193,AAPL,Apple Inc.,sec_company_tickers,2026-02-09
0001672571,AAQL,Antiaging Quantum Living Inc.,sec_company_tickers,2026-02-09
0001774857,AARD,"Aardvark Therapeutics, Inc.",sec_company_tickers,2026-02-09
0002010218,AAS,Antharas Inc,sec_company_tickers,2026-02-09
0000930245,AASP,Agassi Sports Entertainment Corp.,sec_company_tickers,2026-02-09
0001500217,AAT,"American Assets Trust, Inc.",sec_company_tickers,2026-02-09
0000943034,AATC,AUTOSCOPE TECHNOLOGIES CORP,sec_company_tickers,2026-02-09
0001015647,AAUAF,ALMADEN MINERALS LTD,sec_company_tickers,2026-02-09
0001993344,AAUC,Allied Gold Corp,sec_company_tickers,2026-02-09
0001905688,AAUGD,AERO ENERGY Ltd,sec_company_tickers,2026-02-09
0001905688,AAUGF,AERO ENERGY Ltd,sec_company_tickers,2026-02-09
0001956827,AAVXF,Abivax S.A.,sec_company_tickers,2026-02-09
0001756390,AAWH,"Ascend Wellness Holdings, Inc.",sec_company_tickers,2026-02-09
0000825313,AB,ALLIANCEBERNSTEIN HOLDING L.P.,sec_company_tickers,2026-02-09
0000790500,ABAKF,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",sec_company_tickers,2026-02-09
0001576873,ABAT,AMERICAN BATTERY TECHNOLOGY Co,sec_company_tickers,2026-02-09
0001091587,ABBNY,ABB LTD,sec_company_tickers,2026-02-09
0001551152,ABBV,AbbVie Inc.,sec_company_tickers,2026-02-09
0000351569,ABCB,Ameris Bancorp,sec_company_tickers,2026-02-09
0001284237,ABCFF,ABACUS MINING & EXPLORATION CORP,sec_company_tickers,2026-02-09
0001703057,ABCL,AbCellera Biologics Inc.,sec_company_tickers,2026-02-09
0000020639,ABCP,AmBase Corp,sec_company_tickers,2026-02-09
0000318306,ABEO,ABEONA THERAPEUTICS INC.,sec_company_tickers,2026-02-09
0001565025,ABEV,AMBEV S.A.,sec_company_tickers,2026-02-09
0001144980,ABG,ASBURY AUTOMOTIVE GROUP INC,sec_company_tickers,2026-02-09
0001095146,ABIT,Athena Bitcoin Global,sec_company_tickers,2026-02-09
0001957489,ABLV,Able View Global Inc.,sec_company_tickers,2026-02-09
0001957489,ABLVW,Able View Global Inc.,sec_company_tickers,2026-02-09
0001091587,ABLZF,ABB LTD,sec_company_tickers,2026-02-09
0000771497,ABM,ABM INDUSTRIES INC /DE/,sec_company_tickers,2026-02-09
0001559720,ABNB,"Airbnb, Inc.",sec_company_tickers,2026-02-09
0001576885,ABOS,"Acumen Pharmaceuticals, Inc.",sec_company_tickers,2026-02-09
