ym,n_events,k,gross_ls,net_ls,turnover,cost
2020-03,35,7,0.27779553521590566,0.27739553521590565,1.0,0.0004
2020-04,32,6,0.1105750836469046,0.1103650836469046,0.525,0.00021
2020-05,37,7,0.06334719202005773,0.06309719202005773,0.625,0.00025
2020-11,31,6,-0.030211124211829386,-0.03049445754516272,0.7083333333333334,0.00028333333333333335
2021-03,34,6,-0.04186510373445122,-0.04211510373445122,0.625,0.00025
2021-11,37,7,-0.07349067865599404,-0.07380067865599405,0.775,0.00031
2022-03,30,6,0.0025823266910713722,0.002288993357738039,0.7333333333333334,0.0002933333333333334
2022-05,36,7,-0.03928278896105762,-0.03944945562772429,0.4166666666666667,0.0001666666666666667
2022-08,31,6,0.02450450504055905,0.02423450504055905,0.675,0.00027000000000000006
2022-11,33,6,0.05510233954936215,0.05483567288269549,0.6666666666666667,0.00026666666666666673
2023-02,33,6,-0.004836107230160383,-0.005086107230160383,0.625,0.00025
2023-05,41,8,0.01305390531051695,0.01269390531051695,0.9,0.00036
2023-08,34,6,0.04395679711139674,0.04370679711139674,0.625,0.00025
2023-11,41,8,0.09760540577120111,0.0974354057712011,0.425,0.00017
2024-02,35,7,-0.03968820162303355,-0.04000820162303355,0.8,0.00032
2024-05,44,8,0.0460032692850743,0.04571660261840763,0.7166666666666667,0.0002866666666666667
2024-08,40,8,0.015774590794176327,0.015511733651319184,0.6571428571428571,0.00026285714285714286
2024-11,41,8,0.05099504064595989,0.050695040645959887,0.75,0.00030000000000000003
2025-02,38,7,-0.015921716398249658,-0.016088383064916324,0.4166666666666667,0.0001666666666666667
2025-05,49,9,0.019845920534754473,0.019559253868087805,0.7166666666666667,0.0002866666666666667
2025-08,38,7,-0.09363993009202443,-0.0938565967586911,0.5416666666666667,0.0002166666666666667
2025-11,38,7,-0.03970772946850803,-0.03989106280184136,0.45833333333333337,0.00018333333333333336
