delay_days,horizon_days,q,cost_bps,n_pairs,event_mean_net,event_hit,monthly_sharpe_ann,months
0,3,0.1,1.0,185,0.01740986109114159,0.5459459459459459,0.33206468368215025,22
0,3,0.1,2.0,185,0.017209861091141577,0.5459459459459459,0.3258875502235869,22
0,3,0.1,5.0,185,0.016609861091141584,0.5459459459459459,0.3073532384168489,22
0,3,0.1,10.0,185,0.015609861091141587,0.5405405405405406,0.27645317626727783,22
0,3,0.2,1.0,371,0.014309551563902064,0.5471698113207547,0.7707951475573552,22
0,3,0.2,2.0,371,0.014109551563902058,0.5444743935309974,0.7642884771063598,22
0,3,0.2,5.0,371,0.013509551563902062,0.5444743935309974,0.7447533979664065,22
0,3,0.2,10.0,371,0.012509551563902061,0.5444743935309974,0.7121448115126026,22
0,3,0.3,1.0,557,0.01113656598008171,0.5368043087971275,1.0488491857268514,22
0,3,0.3,2.0,557,0.010936565980081707,0.5368043087971275,1.0425992048068076,22
0,3,0.3,5.0,557,0.01033656598008171,0.5296229802513465,1.0238318546393028,22
0,3,0.3,10.0,557,0.009336565980081708,0.5224416517055656,0.9924949562507361,22
0,5,0.1,1.0,185,0.01787355048593504,0.5351351351351351,0.2715337598195868,22
0,5,0.1,2.0,185,0.01767355048593503,0.5351351351351351,0.26631876526690484,22
0,5,0.1,5.0,185,0.017073550485935035,0.5351351351351351,0.2506719653468102,22
0,5,0.1,10.0,185,0.016073550485935034,0.5351351351351351,0.22458800946430515,22
0,5,0.2,1.0,371,0.012977642664443482,0.5283018867924528,0.6029635562585717,22
0,5,0.2,2.0,371,0.012777642664443475,0.5283018867924528,0.5978699062494787,22
0,5,0.2,5.0,371,0.012177642664443477,0.5283018867924528,0.58258032072756,22
0,5,0.2,10.0,371,0.011177642664443476,0.5283018867924528,0.5570689494311556,22
0,5,0.3,1.0,557,0.013274424260020201,0.5385996409335727,0.621341144029008,22
0,5,0.3,2.0,557,0.013074424260020198,0.5385996409335727,0.6167476265159518,22
0,5,0.3,5.0,557,0.012474424260020198,0.533213644524237,0.6029570214232091,22
0,5,0.3,10.0,557,0.011474424260020197,0.5242369838420108,0.5799391745739799,22
0,10,0.1,1.0,185,0.022773614481430414,0.4918918918918919,0.1626153176742114,22
0,10,0.1,2.0,185,0.022573614481430398,0.4918918918918919,0.15749253034770216,22
0,10,0.1,5.0,185,0.0219736144814304,0.4918918918918919,0.14212171396330506,22
0,10,0.1,10.0,185,0.020973614481430394,0.4918918918918919,0.11649559618684352,22
0,10,0.2,1.0,370,0.02620019951207241,0.5486486486486486,-0.20345034058601727,22
0,10,0.2,2.0,370,0.026000199512072403,0.5459459459459459,-0.20924260933191136,22
0,10,0.2,5.0,370,0.0254001995120724,0.5459459459459459,-0.22662798528031416,22
0,10,0.2,10.0,370,0.024400199512072396,0.5459459459459459,-0.25563207105008157,22
0,10,0.3,1.0,556,0.024123240675115825,0.552158273381295,0.5089242441855537,22
0,10,0.3,2.0,556,0.023923240675115812,0.552158273381295,0.5040539848266078,22
0,10,0.3,5.0,556,0.023323240675115816,0.5503597122302158,0.4894340668458455,22
0,10,0.3,10.0,556,0.02232324067511582,0.5503597122302158,0.4650371066623136,22
1,3,0.1,1.0,185,0.0245162806568505,0.5783783783783784,1.042686676147256,22
1,3,0.1,2.0,185,0.024316280656850493,0.5783783783783784,1.0356084650889907,22
1,3,0.1,5.0,185,0.023716280656850493,0.5783783783783784,1.0143634891102666,22
1,3,0.1,10.0,185,0.022716280656850496,0.572972972972973,0.9789209266238416,22
1,3,0.2,1.0,371,0.017371522231665312,0.5902964959568733,0.9968538690834372,22
1,3,0.2,2.0,371,0.017171522231665307,0.5876010781671159,0.9913734244214691,22
1,3,0.2,5.0,371,0.016571522231665314,0.5849056603773585,0.9749194185680089,22
1,3,0.2,10.0,371,0.01557152223166531,0.5795148247978437,0.9474538711022966,22
1,3,0.3,1.0,557,0.014011942888218458,0.5457809694793537,0.8756591862640012,22
1,3,0.3,2.0,557,0.013811942888218454,0.5457809694793537,0.8704578955536681,22
1,3,0.3,5.0,557,0.013211942888218458,0.5439856373429084,0.8548392247497847,22
1,3,0.3,10.0,557,0.012211942888218459,0.5403949730700179,0.8287587493300148,22
1,5,0.1,1.0,185,0.026127143229532527,0.5675675675675675,0.9438168413345701,22
1,5,0.1,2.0,185,0.025927143229532518,0.5675675675675675,0.9374007849910121,22
1,5,0.1,5.0,185,0.025327143229532525,0.5675675675675675,0.9181485888933308,22
1,5,0.1,10.0,185,0.024327143229532517,0.5675675675675675,0.8860483527499596,22
1,5,0.2,1.0,371,0.016304436814087928,0.5633423180592992,0.8904347602622557,22
1,5,0.2,2.0,371,0.016104436814087925,0.5633423180592992,0.8847292642795491,22
1,5,0.2,5.0,371,0.015504436814087929,0.5633423180592992,0.8676027498254973,22
1,5,0.2,10.0,371,0.014504436814087925,0.5606469002695418,0.8390252300953464,22
1,5,0.3,1.0,557,0.013104512120308493,0.5583482944344704,0.488858512319623,22
1,5,0.3,2.0,557,0.012904512120308489,0.5583482944344704,0.4840930876059699,22
1,5,0.3,5.0,557,0.01230451212030849,0.5547576301615799,0.4697854797400288,22
1,5,0.3,10.0,557,0.01130451212030849,0.5493716337522442,0.44590168134596114,22
1,10,0.1,1.0,185,0.039643279139810514,0.5837837837837838,1.3256937367106685,22
1,10,0.1,2.0,185,0.039443279139810515,0.5837837837837838,1.320681470120898,22
1,10,0.1,5.0,185,0.03884327913981051,0.5783783783783784,1.3056404895031473,22
1,10,0.1,10.0,185,0.03784327913981051,0.5783783783783784,1.280558332673724,22
1,10,0.2,1.0,370,0.03331752756879196,0.5945945945945946,0.5605658892200132,22
1,10,0.2,2.0,370,0.03311752756879196,0.5891891891891892,0.5546433496027262,22
1,10,0.2,5.0,370,0.032517527568791955,0.5891891891891892,0.5368671963774225,22
1,10,0.2,10.0,370,0.03151752756879195,0.5864864864864865,0.5072119525066224,22
1,10,0.3,1.0,555,0.02593618947765288,0.5567567567567567,0.7285473880592579,22
1,10,0.3,2.0,555,0.025736189477652875,0.5567567567567567,0.7237289085348743,22
1,10,0.3,5.0,555,0.02513618947765288,0.554954954954955,0.7092632230374404,22
1,10,0.3,10.0,555,0.024136189477652874,0.5477477477477477,0.6851196089747851,22
